[-] Please include http:// or https:// in the domain.
[*] Downloading wordlist from:
https://raw.githubusercontent.com/danielmiessler/SecLists/master/Discovery/Web-Content/common.txt
[+] Wordlist loaded successfully.


[*] Enumerating paths on: http://www.google.com

[+] Found: http://www.google.com/.well-known/security.txt (200)
[+] Found: http://www.google.com/2001 (301)
[+] Found: http://www.google.com/2002 (301)
[+] Found: http://www.google.com/2004 (301)
[+] Found: http://www.google.com/2003 (301)
[+] Found: http://www.google.com/2007 (301)
[+] Found: http://www.google.com/2005 (301)
[+] Found: http://www.google.com/2006 (301)
[+] Found: http://www.google.com/2010 (301)
[+] Found: http://www.google.com/2009 (301)
[+] Found: http://www.google.com/2012 (301)
[+] Found: http://www.google.com/2011 (301)
[+] Found: http://www.google.com/2008 (301)
[+] Found: http://www.google.com/2013 (301)
[+] Found: http://www.google.com/2015 (301)
[+] Found: http://www.google.com/2016 (301)
[+] Found: http://www.google.com/2014 (301)
[+] Found: http://www.google.com/2017 (301)
[+] Found: http://www.google.com/2018 (301)
[+] Found: http://www.google.com/2019 (301)
[+] Found: http://www.google.com/2020 (301)
[+] Found: http://www.google.com/Research (301)
[+] Found: http://www.google.com/about (302)
[+] Found: http://www.google.com/accessibility (302)
[+] Found: http://www.google.com/account (302)
[+] Found: http://www.google.com/activity (301)
[+] Found: http://www.google.com/accounts (302)
[+] Found: http://www.google.com/ads (301)
[+] Found: http://www.google.com/advanced_search (301)
[+] Found: http://www.google.com/advertise (301)
[+] Found: http://www.google.com/advertising (301)
[+] Found: http://www.google.com/advertisers (301)
[+] Found: http://www.google.com/adview (204)
[+] Found: http://www.google.com/af (301)
[+] Found: http://www.google.com/africa (302)
[+] Found: http://www.google.com/analytics (301)
[+] Found: http://www.google.com/android (301)
[+] Found: http://www.google.com/answers (301)
[+] Found: http://www.google.com/alerts (302)
[+] Found: http://www.google.com/apis (301)
[+] Found: http://www.google.com/appliance (302)
[+] Found: http://www.google.com/apple-app-site-association (200)
[+] Found: http://www.google.com/ar (301)
[+] Found: http://www.google.com/az (301)
[+] Found: http://www.google.com/ban (301)
[+] Found: http://www.google.com/be (301)
[+] Found: http://www.google.com/bg (301)
[+] Found: http://www.google.com/blocked (301)
[+] Found: http://www.google.com/blog (301)
[+] Found: http://www.google.com/blogger (301)
[+] Found: http://www.google.com/br (301)
[+] Found: http://www.google.com/bs (301)
[+] Found: http://www.google.com/ca (301)
[+] Found: http://www.google.com/books (301)
[+] Found: http://www.google.com/business (302)
[+] Found: http://www.google.com/calendar (200)
[+] Found: http://www.google.com/careers (301)
[+] Found: http://www.google.com/cars (301)
[+] Found: http://www.google.com/chat (302)
[+] Found: http://www.google.com/chrome (301)
[+] Found: http://www.google.com/co (301)
[+] Found: http://www.google.com/commerce (301)
[+] Found: http://www.google.com/collection (301)
[+] Found: http://www.google.com/company (301)
[+] Found: http://www.google.com/compare (301)
[+] Found: http://www.google.com/contact (301)
[+] Found: http://www.google.com/contacts (301)
[+] Found: http://www.google.com/cm (301)
[+] Found: http://www.google.com/contributor (301)
[+] Found: http://www.google.com/creditcards (302)
[+] Found: http://www.google.com/crossdomain.xml (200)
[+] Found: http://www.google.com/crs (301)
[+] Found: http://www.google.com/cse (301)
[+] Found: http://www.google.com/cs (301)
[+] Found: http://www.google.com/custom (301)
[+] Found: http://www.google.com/cy (301)
[+] Found: http://www.google.com/da (301)
[+] Found: http://www.google.com/dashboard (301)
[+] Found: http://www.google.com/cr (400)
[+] Found: http://www.google.com/de (301)
[+] Found: http://www.google.com/deleted (301)
[+] Found: http://www.google.com/design (302)
[+] Found: http://www.google.com/developers (301)
[+] Found: http://www.google.com/developer (301)
[+] Found: http://www.google.com/devices (301)
[+] Found: http://www.google.com/device (302)
[+] Found: http://www.google.com/docs (301)
[+] Found: http://www.google.com/domains (301)
[+] Found: http://www.google.com/doubleclick (301)
[+] Found: http://www.google.com/ebooks (301)
[+] Found: http://www.google.com/edu (302)
[+] Found: http://www.google.com/education (302)
[+] Found: http://www.google.com/ee (301)
[+] Found: http://www.google.com/el (301)
[+] Found: http://www.google.com/en (301)
[+] Found: http://www.google.com/enterprise (301)
[+] Found: http://www.google.com/es (301)
[+] Found: http://www.google.com/et (301)
[+] Found: http://www.google.com/eu (301)
[+] Found: http://www.google.com/fa (301)
[+] Found: http://www.google.com/favicon.ico (200)
[+] Found: http://www.google.com/firefox (301)
[+] Found: http://www.google.com/finance (301)
[+] Found: http://www.google.com/flights (301)
[+] Found: http://www.google.com/forms (301)
[+] Found: http://www.google.com/fotos (302)
[+] Found: http://www.google.com/fr (301)
[+] Found: http://www.google.com/friends (302)
[+] Found: http://www.google.com/fi (302)
[+] Found: http://www.google.com/ga (301)
[+] Found: http://www.google.com/games (301)
[+] Found: http://www.google.com/gl (301)
[+] Found: http://www.google.com/grants (301)
[+] Found: http://www.google.com/green (302)
[+] Found: http://www.google.com/groups (302)
[+] Found: http://www.google.com/health (301)
[+] Found: http://www.google.com/health/ready (301)
[+] Found: http://www.google.com/health/live (301)
[+] Found: http://www.google.com/hi (301)
[+] Found: http://www.google.com/hire (301)
[+] Found: http://www.google.com/history (302)
[+] Found: http://www.google.com/home (301)
[+] Found: http://www.google.com/homepage (301)
[+] Found: http://www.google.com/hosted (301)
[+] Found: http://www.google.com/hotels (301)
[+] Found: http://www.google.com/hr (301)
[+] Found: http://www.google.com/ht (301)
[+] Found: http://www.google.com/hu (301)
[+] Found: http://www.google.com/humans.txt (200)
[+] Found: http://www.google.com/ia (301)
[+] Found: http://www.google.com/id (301)
[+] Found: http://www.google.com/ideas (301)
[+] Found: http://www.google.com/ie (301)
[+] Found: http://www.google.com/ig (301)
[+] Found: http://www.google.com/images (302)
[+] Found: http://www.google.com/inbox (302)
[+] Found: http://www.google.com/in (302)
[+] Found: http://www.google.com/index.html (200)
[+] Found: http://www.google.com/is (301)
[+] Found: http://www.google.com/it (301)
[+] Found: http://www.google.com/iw (301)
[+] Found: http://www.google.com/ja (301)
[+] Found: http://www.google.com/jigsaw (301)
[+] Found: http://www.google.com/jobs (301)
[+] Found: http://www.google.com/jump (302)
[+] Found: http://www.google.com/keep (302)
[+] Found: http://www.google.com/ko (301)
[+] Found: http://www.google.com/la (301)
[+] Found: http://www.google.com/labs (301)
[+] Found: http://www.google.com/lg (301)
[+] Found: http://www.google.com/lo (301)
[+] Found: http://www.google.com/log (400)
[+] Found: http://www.google.com/local (302)
[+] Found: http://www.google.com/logos (301)
[+] Found: http://www.google.com/lt (301)
[+] Found: http://www.google.com/lv (301)
[+] Found: http://www.google.com/mail (301)
[+] Found: http://www.google.com/m (200)
[+] Found: http://www.google.com/manifest (200)
[+] Found: http://www.google.com/manufacturers (301)
[+] Found: http://www.google.com/maps (302)
[+] Found: http://www.google.com/mini (302)
[+] Found: http://www.google.com/mk (301)
[+] Found: http://www.google.com/ml (301)
[+] Found: http://www.google.com/mo (301)
[+] Found: http://www.google.com/mobile (301)
[+] Found: http://www.google.com/moderator (301)
[+] Found: http://www.google.com/movies (301)
[+] Found: http://www.google.com/ms (301)
[+] Found: http://www.google.com/mt (301)
[+] Found: http://www.google.com/music (302)
[+] Found: http://www.google.com/my (301)
[+] Found: http://www.google.com/myaccount (302)
[+] Found: http://www.google.com/navigation (301)
[+] Found: http://www.google.com/ne (301)
[+] Found: http://www.google.com/nl (301)
[+] Found: http://www.google.com/no (301)
[+] Found: http://www.google.com/news (302)
[+] Found: http://www.google.com/offers (301)
[+] Found: http://www.google.com/on (302)
[+] Found: http://www.google.com/opensource (301)
[+] Found: http://www.google.com/pa (301)
[+] Found: http://www.google.com/password (301)
[+] Found: http://www.google.com/passwords (301)
[+] Found: http://www.google.com/partners (200)
[+] Found: http://www.google.com/pay (302)
[+] Found: http://www.google.com/payments (302)
[+] Found: http://www.google.com/patents (301)
[+] Found: http://www.google.com/phone (302)
[+] Found: http://www.google.com/phones (302)
[+] Found: http://www.google.com/pda (200)
[+] Found: http://www.google.com/photos (302)
[+] Found: http://www.google.com/pixel (302)
[+] Found: http://www.google.com/pl (301)
[+] Found: http://www.google.com/places (301)
[+] Found: http://www.google.com/play (301)
[+] Found: http://www.google.com/podcasts (301)
[+] Found: http://www.google.com/policies (301)
[+] Found: http://www.google.com/preferences (301)
[+] Found: http://www.google.com/press (301)
[+] Found: http://www.google.com/privacy (302)
[+] Found: http://www.google.com/privacypolicy (302)
[+] Found: http://www.google.com/products (302)
[+] Found: http://www.google.com/profiles (301)
[+] Found: http://www.google.com/ps (301)
[+] Found: http://www.google.com/publisher (301)
[+] Found: http://www.google.com/publications (301)
[+] Found: http://www.google.com/reader (301)
[+] Found: http://www.google.com/recovery (301)
[+] Found: http://www.google.com/related (301)
[+] Found: http://www.google.com/research (301)
[+] Found: http://www.google.com/ro (301)
[+] Found: http://www.google.com/robots.txt (200)
[+] Found: http://www.google.com/retail (302)
[+] Found: http://www.google.com/ru (301)
[+] Found: http://www.google.com/s (400)
[+] Found: http://www.google.com/reporting (302)
[+] Found: http://www.google.com/saves (301)
[+] Found: http://www.google.com/saved (301)
[+] Found: http://www.google.com/script (301)
[+] Found: http://www.google.com/save (301)
[+] Found: http://www.google.com/sd (301)
[+] Found: http://www.google.com/search (302)
[+] Found: http://www.google.com/security (301)
[+] Found: http://www.google.com/services (301)
[+] Found: http://www.google.com/shopping (200)
[+] Found: http://www.google.com/si (301)
[+] Found: http://www.google.com/sitemap.xml (200)
[+] Found: http://www.google.com/sitemaps (301)
[+] Found: http://www.google.com/sitesearch (302)
[+] Found: http://www.google.com/sites (302)
[+] Found: http://www.google.com/sk (301)
[+] Found: http://www.google.com/sl (301)
[+] Found: http://www.google.com/slides (301)
[+] Found: http://www.google.com/sms (302)
[+] Found: http://www.google.com/so (301)
[+] Found: http://www.google.com/space (301)
[+] Found: http://www.google.com/sq (301)
[+] Found: http://www.google.com/sr (301)
[+] Found: http://www.google.com/st (301)
[+] Found: http://www.google.com/store (301)
[+] Found: http://www.google.com/student (302)
[+] Found: http://www.google.com/students (302)
[+] Found: http://www.google.com/suggest (400)
[+] Found: http://www.google.com/survey (301)
[+] Found: http://www.google.com/surveys (301)
[+] Found: http://www.google.com/sv (301)
[+] Found: http://www.google.com/sw (301)
[+] Found: http://www.google.com/support (301)
[+] Found: http://www.google.com/tags (302)
[+] Found: http://www.google.com/talk (301)
[+] Found: http://www.google.com/talks (301)
[+] Found: http://www.google.com/te (301)
[+] Found: http://www.google.com/technology (301)
[+] Found: http://www.google.com/th (301)
[+] Found: http://www.google.com/tn (301)
[+] Found: http://www.google.com/to (301)
[+] Found: http://www.google.com/toolbar (301)
[+] Found: http://www.google.com/tools (302)
[+] Found: http://www.google.com/tr (301)
